descriptif,name,adresse1,adresse2,town,postal_code
"Cette association regroupe des professionnels du cinéma depuis 1962. Lieu de diffusion, de conservation, d’initiation et de formation, elle est également organisatrice du festival du Film Court en plein air, moment fort de l’année. La rénovation des locaux permet dès la rentrée 2014/2015 l’accueil du public pour des consultations, des activités, des rendez-vous réguliers et des événements.",Cinémathèque de Grenoble,4 rue Hector Berlioz,,Grenoble,38000
"Cette église, dont la flèche culmine à 67 mètres, a été édifiée entre 1874 et 1878. Le bâtiment, entièrement construit en ciment moulé présente un mélange de styles différents (néo-gothique, néo-roman, inspiration mauresque). À remarquer : à l’extrémité des bras de transept, deux tableaux de Jules Flandrin, peints en 1930 et représentant des scènes de la vie de Saint Bruno. Ils ont été rénovés en 2009.",Eglise Saint-Bruno,47 place Saint-Bruno,,Grenoble,38000
"Cœur du groupe épiscopal fondé au IVe siècle, l’actuelle cathédrale (XIIIe siècle) recèle des trésors insoupçonnés. De nombreux personnages célèbres sont liés à son histoire. Depuis peu, elle a retrouvé l’un de ses ornements méconnus : le cloître des chanoines, encore pourvu de ses chapiteaux romans, et dans lequel on a mis au jour des peintures murales parmi les plus anciennes de l’Isère. ",Cathédrale Notre Dame de Grenoble,Place Notre-Dame,,Grenoble,38000
"Construit en 1960 par l'architecte Jean Benoît, le bâtiment bénéficie depuis 2004 du label ""Patrimoine du XXe sièce"". Il abrite les collections patrimoniales et d'information de la Bibliothèque municipale de Grenoble, fondée en 1772 par souscription publique. La consultation s'effectue dans deux salles de lecture et les collections sont conservées sur quatres niveaux de magasins composés de 23 km de rayonnages. Un atelier de reliure et de restauration, ainsi qu'un atelier de reproduction participent à la bonne conservation des documents.",Bibliothèque municipale d'étude et du patrimoine,12 boulevard maréchal Lyautey,,Grenoble,38000
"Construit sous Napoléon III, voulu comme la représentation du pouvoir impérial et militaire à Grenoble, cet hôtel particulier est caractéristique de son époque, dont il a gardé tous les décors d'origine.",Hôtel des Troupes de Montagne,5 Place de Verdun,,Grenoble,38000
"Créé en 1798, ce musée n'a cessé de s'enrichir pour présenter aujourd'hui plus de 900 œuvres. Un ensemble unique, tant par ses collections d'art ancien que moderne et contemporain, qui permet de parcourir l'histoire de la peinture occidentale. S'ajoute à ces oeuvres un fonds d'antiquités égyptiennes étudié et documenté par Champollion, lors de ses séjours à Grenoble.",Musée de Grenoble,"5, place Lavalette",,Grenoble,38000
"Dans les locaux de l’ancienne manufacture des gants Jouvin sont présentés les outils du gantier. Une salle est dédiée à Xavier Jouvin et notamment les brevets de ses inventions (1834, 1836, 1838) qui ont révolutionné la fabrication des gants et permis à Grenoble de devenir la capitale mondiale de la ganterie. Collection de gants des années 1850 à 1960, présentation des Gants Jouvin (1834-1964). Un film tourné dans une ganterie encore en activité retrace le processus de la fabrication d’une paire de gant.",Ancienne manufacture des gants Jouvin - Musée de la Ganterie,2 rue Saint-Laurent,,Grenoble,38000
"Démonstration de taille de pierre traditionnelle, de gravure sur pierre à la main et de marqueterie de marbre : réalisation en public d’une pièce d’architecture en pierre de taille, d’une gravure sur pierre et d’une marqueterie. Présentation d’une lithotèque : ensemble d’échantillons de différentes pierres et marbres utilisés localement ou dans la restauration du patrimoine bâti ou mobilier. Atelier découverte pour les enfants.",Atelier Pierres et Décoration,Place Saint-André,,Grenoble,38000
"Depuis la fin du XVe siècle, le palais abritait le Parlement de l’ancienne province du Dauphiné, institution politique et judiciaire dotée d’une relative autonomie. Puis il a reçu, après la Révolution et durant plus de deux siècles, les services de la Justice. Il est aujourd’hui propriété du Département de l’Isère",Ancien palais de justice - Palais du parlement,"4, place Saint André",,Grenoble,38000
"Édifice datant du second Empire, situé sur l’ancienne place d’armes aujourd’hui place de Verdun. Composé de cinq parties, un corps central, deux ailes et deux pavillons d’angle. Il abrite des salons d’apparats somptueux ainsi qu’un escalier monumental donnant accès aux appartements du Préfet. A noter également, le charme du jardin à l’anglaise.",Préfecture de l'Isère,12 place Verdun,,Grenoble,38000
"Eglise construite en 1965, sous la conduite du père Jacques de Monts. Eglise en béton, plafond en lambris, vitraux grenoblois. Deux tableaux d'Arcabas.",Eglise Saint-Vincent-de-Paul,6 rue Abbé Barral,,Grenoble,38000
"Eglise ronde de 1 000 places construite en 1965, labélisée patrimoine du XXe siècle. Grandes orgues (facteur Giroud de Grenoble). Architecture moderne.
",Eglise Saint-Jean-l'Evangéliste,12-14 boulevard Joseph Vallier,,Grenoble,38000
"Fondée en 1228 par André Dauphin, comte de Viennois, l’église Saint-André était la chapelle du palais des Dauphins. Dotée d’un chapitre de treize chanoines, elle rivalisait avec la cathédrale construite à la même époque par l’évêque, co-seigneur de la ville médiévale avec le dauphin. 
C’est là que plusieurs souverains furent inhumés, jusqu’à la cession du Dauphiné à la France en 1349. Par la suite, la collégiale devint la chapelle du Parlement du Dauphiné, avant d’abriter le tombeau du célèbre chevalier Bayard. De style gothique, elle est l’un des plus anciens monuments de Grenoble, et le seul vestige complet de l’époque delphinale.",Collégiale saint-André,9 place saint-André,,Grenoble,38000
"Fondée en 1985, l'Association pour un Conservatoire de l'Informatique et de la Télématique valorise et sauvegarde le patrimoine informatique. Venez découvrir des collections uniques de matériels, de logiciels et de documents, retraçant l'histoire de l'informatique, du boulier à nos jours.",ACONIT- Musée de l'Informatique,12 rue Joseph Rey,,Grenoble,38000
"Il n’existe sur Grenoble qu’un seul témoignage architectural de l’œuvre de Vauban, la poudrière située dans l’enceinte de l’actuelle Cité administrative. Construite en 1692, elle subit des modifications au XXe siècle. Elle sera utilisée à des fins diverses jusqu’en 1990. Depuis elle est utilisée comme lieu de stockage des pierres provenant des démolitions de l’Ancien Évêché et du groupe cathédral.",Poudrière Vauban,13 rue du Commandant L'Herminier,,Grenoble,38000
"Implanté dans un ancien quartier industriel aujourd’hui, à proximité du CNAC-Le Magasin en pleine mutation, le site est un exemple d’architecture du XXIe siècle. Son passé industriel a inspiré une architecture brute, efficace et rugueuse, enveloppée de lames de bois rappelant les traverses de chemin de fer. ",La Belle Electrique,"12, Esplanade Andry Farcy",,Grenoble,38000
"Installée dans l’aile nord de l’ancien musée bibliothèque, la Plateforme est un lieu d’information et d’échange sur l’architecture et l’urbanisme entre les habitants et les professionnels de l’urbanisme. Y sont organisées différentes manifestations telles que des débats, des expositions de projets urbains, des conférences, des rencontres entre les habitants et les professionnels de l’urbanisme.",La Plateforme/Ancien Musée-Bibliothèque,9 place de Verdun,,Grenoble,38000
"L’atelier de reliure existe depuis 1932, il comprend des outils et du matériel propres à la reliure traditionnelle et à la restauration de livres datant du XIXe siècle. Cet atelier a reçu le label «Entreprise du Patrimoine Vivant».",Atelier de reliure Franck Michel,11 rue Beyle-Stendhal,,Grenoble,38000
"L’église Saint-Louis (XVIIIe siècle) renferme un orgue de tout premier ordre, construit en 1982 par le facteur d’orgue Bathélémy Formentelli. De construction strictement artisanale, c’est un des fleurons des orgues français de ces dernières décennies, récemment restauré par la Ville de Grenoble.",Eglise Saint-Louis,Rue Félix Poulat,,Grenoble,38000
"L’église St-Luc est une église nouvelle qui attire le regard par son architecture originale. Un vitrail constitue entièrement l’une des façades. A l’intérieur, on peut découvrir deux tableaux réalisés par différentes générations.",Eglise Saint-Luc,12-14 rue Eugène Delacroix,,Grenoble,38000
"La basilique Saint-Joseph, construite dans les années 1920, ne fut dotée d’un orgue qu’en 1943, resté incomplet du fait des difficultés de la guerre. Il a été complété et entièrement restauré entre 1997 et 2004 et équipé d’une transmission numérique unique en Isère.",Basilique Saint-Joseph,Place de Metz,,Grenoble,38000
"La Maison des Jeux est une association qui œuvre pour la reconnaissance du jeu comme objet culturel. Dans cette dynamique, l’association fait découvrir le patrimoine ludique mondial grâce à sa recherche sur les jeux traditionnels de monde entier. Venir à la maison des jeux permet de découvrir, manipuler et jouer à des jeux du monde entier.",Maison des Jeux,48 quai de France,,Grenoble,38000
Laboratoire de recherche et atelier de conservation et de restauration du patrimoine culturel. Visites commentées par le personnel du laboratoire ARC-Nucléart des installations de traitement et des ateliers de restauration.,Arc Nucléart,17 rue des Martyrs,,Grenoble,38000
"L'appartement Gagnon est un lieu chargé d'histoire où le futur Stendhal vécut ses années d'enfance, à l'ombre de son grand père, le docteur Henri Gagnon. L'appartement évoque son entourage familial, ses amis et professeurs, la ville de Grenoble où il assiste aux premiers frémissements de la Révolution française. La chambre d'hôte accueille une exposition temporaire, « Stendhal, un républicain Rouge et Noir », consacrée à l’engagement politique dans l’œuvre littéraire.",Appartement Gagnon,"20, Grand-Rue",,Grenoble,38000
"L'Atelier Montfollet (Entreprise du patrimoine vivant depuis) restaure des vitraux d'art depuis 1943. Mais ce n’est pas sa seule activité puisqu’il se consacre aussi à la recherche artistique avec la création d’œuvres originales, notamment en alliant divers métaux, tels l’or, le cuivre, l’acier oxydé à la palette du vitrail traditionnel. ",Atelier Montfollet,3 rue de Moyrand,,Grenoble,38000
"Le Centre d’art bastille est un centre d’art contemporain installé dans des casemates voûtées en pierres de taille au cœur de la Bastille de Grenoble, fort militaire édifié entre 1823 et 1848 auquel on accède par l’un des plus anciens téléphérique urbain au monde.",Centre d'Art Bastille,Fort de la Bastille,,Grenoble,38000
"Le cimetière Saint-Roch, créé en 1810, compte 27 000 concessions sur 13 ha. Plus de 800 tombes ont été classées remarquables pour leur intérêt architectural, artistique ou historique suite à un inventaire patrimonial réalisé par la Ville de Grenoble et le Département de l’Isère.
La grande majorité des personnalités grenobloises, qui ont fait l’histoire de la ville au XIXe siècle, y est inhumée.",Cimetière Saint Roch,2 rue du souvenir,,Grenoble,38000
"Le couvent Sainte-Cécile fut construit au XVIIe siècle pour abriter l’ordre, nouvellement créé, des Bernardines de la Divine Providence. Elles en furent chassées lors de la Révolution. Le couvent fut affecté à l’armée, qui l’occupa jusqu’en 2001, tandis que la chapelle abrita successivement un cinéma, un dancing et enfin un théâtre. Les éditions Glénat l’ont racheté pour le restaurer (façade, cloître, vitraux, grand escalier de pierre et enfin jardin) et y installer leur siège social.",Couvent Sainte-Cécile,37 rue Servan,,Grenoble,38000
"Le musée inscrit son action dans la relation de proximité qu'il entretient avec les habitants d'origine et d'adoption des Alpes dauphinoises. Lieu d'investigation de toutes les périodes de l'histoire alpine, il est aussi un espace de réflexion sur notre temps et explore tour à tour les champs de l'archéologie, du patrimoine régional, rural ou industriel. ",Musée Dauphinois,"30, rue Maurice Gignoux",,Grenoble,38000
"Le musée invite le visiteur à se plonger dans l’univers des soldats de montagne. En plus d’exposer une collection et une culture particulière, cet espace culturel porte également un regard sur les enjeux et les engagements internationaux de notre pays. C’est un véritable lieu de rencontres et d’échanges entre les Troupes de montagne et le public. Son parcours est entièrement audio-guidé (français, anglais, italien).",Musée des Troupes de Montagne,Site sommital du fort de la Bastille,,Grenoble,38000
"Le musée Stendhal fédère plusieurs lieux, l'appartement Gagnon, l'appartement natal de Stendhal et la bibliothèque d'études et du Patrimoine",Musée Stendhal,,,Grenoble,38000
"Le parcours du musée retrace les évènements marquants de l'histoire locale, replacés dans le contexte historique français et mondial. Sa collection d'objets, photographies, documents audiovisuels et témoignages est valorisé par une muséographie qui mise sur la restitution de lieux ou d'ambianceS. Emotion et réflexion sont ainsi tour à tour sollicités.",Musée de la Résistance et de la Déportation de l'Isère,"14, rue Hébert",,Grenoble,38000
Le temple protestant construit au XVIIe siècle est bien représentatif de l’architecture de l’époque. La chaire au-dessus de l’autel impressionne par sa hauteur et à la tribune un orgue de 3 claviers et de 23 jeux rénové en 2007 par le facteur d’orgue Jacques Nonnet complète cet édifice. Cet instrument est le joyau du temple. Il est mis en valeur lors de concerts.,Temple protestant de Grenoble,"2, rue Joseph Fourier",,Grenoble,38000
Les Archives départementales de l’Isère conservent le patrimoine écrit de l’Isère et de l’ancienne province du Dauphiné du XIe siècle jusqu’à nos jours. Elles se composent de plus de mille fonds conservés dans dix-neuf magasins répartis dans deux bâtiments et contenant plus de trente-quatre kilomètres de documents.,Archives Départementales de l'Isère,2 rue Auguste Prud'homme,,Grenoble,38000
Les Archives municipales sont le lieu de conservation de la mémoire écrite de la ville de Grenoble.,Archives Municipales de Grenoble,Hôtel de Ville de Grenoble,"11, boulevard Jean Pain",Grenoble,38000
"Lieu de diffusion et de transmission, l’association valorise l’architecture dans sa diversité et dans sa capacité à susciter des débats d’idées.
",Maison de l'Architecture,4 place Bérulle,,Grenoble,38000
"Magasin/Atelier du dernier Maitre gantier (Meilleur ouvrier de France) grenoblois en exercice. Gants de luxe réalisés dans les règles de l’art comme autrefois. Démonstration de coupe de gants, couture et autres opérations se rapportant à la fabrication d’une paire de gants en chevreau grenoblois, par Odile et Jean Strazzeri.",Musée vivant de la ganterie - Gants Lesdiguières ,10 rue Voltaire,,Grenoble,38000
"Nous invitons le voyageur, le passant, à rentrer dans une parenthèse du passé à travers une galerie creusée à même la roche associée à un lieu de dégustations de produits traditionnels dauphinois. Il pourra découvrir l’art et la manière de ces vignerons qui se sont reconvertis dans l’exploitation de la noix pour subsister et ont fait la renommée de la noix de Grenoble. Découvrez aussi la fabuleuse histoire de l’ébénisterie dauphinoise en bois de noyer déjà célébrée par les ébénistes du XVIIIe dont la dynastie grenobloise des frères Hache.",Eco Musée Le Mont Rachais,"2, place de la cymaise",,Grenoble,38000
"Ouverte en 1968, à l’occasion des Jeux Olympiques d’hiver, la Maison de la culture de Grenoble construite par André Wogenscky et inaugurée par André Malraux a été un creuset artistique important et a vu l’éclosion de talents qui sont devenus des références internationales. À partir de 1999, un grand chantier pour la requalification de cette maison est initié par la ville. Depuis 2004, la Maison de la culture est devenue la MC2. Première scène nationale de France, elle possède 4 plateaux (dont un auditorium) permettant l’accueil de spectacles de théâtre, danse, musique et cirque et 3 salles de répétition.",MC2: Maison de la Culture,"4, rue Paul Claudel",,Grenoble,38000
"Site archéologique majeur situé dans un des plus anciens quartiers de Grenoble, le musée vous propose un voyage de près deux mille ans d’histoire. De la nécropole du IVe siècle à l’église du XIXe siècle, Saint-Laurent a traversé le temps en conservant comme dans un grand livre ouvert, les traces additionnées de l’histoire depuis les origines du christianisme.",Musée archéologique de Grenoble-Saint-Laurent,Place Saint-Laurent,,Grenoble,38000
"Site classé et restauré l’appartement-galerie d’art contemporain du Studio 1011 jouit d’une situation exceptionnelle dans le cœur historique de la rive droite. Perché au-dessus de l’Isère, il possède l’une des plus belles vues sur Grenoble.",Studio 1011,"4, Quai Perrière",,Grenoble,38000
"Situé au cœur du centre historique de Grenoble, à proximité de la cathédrale, le musée est installé dans l'ancien palais des évêques, édifice protégé au titre des Monuments historiques. Le site présente en son sous-sol des vestiges archéologiques de première importance, témoins de l'histoire religieuse de la cité. Dans les étages du palais devenu musée, l'exposition permanente 'l'Isère en histoire"", entièrement remodelée, invite à un parcours chronologique pour découvrir un territoire, son histoire et ses hommes.",Musée de l'ancien evêché,"2, rue Très-Cloîtres",,Grenoble,38000
"Situé au cœur du jardin des plantes, le Muséum propose 2800m2 d'exposition sur le patrimoine naturel. Avec plus de trois millions de spécimens en réseves, une collection de minéralogie exceptionnelle, des dizaines de milliers de fossiles, d'insectes, d'oiseaux, un herbier unique pour la connaissance de la botanique, il est un lieu incontournable pour la découverte de la nature, de la montagne et des sciences. ",Muséum de Grenoble,"1, rue Dolomieu",,Grenoble,38000
Visitez l’un des plus vieux immeubles du quartier Saint-Laurent dont certaines parties datent de fin XVIe.,Le Café des Arts,36 rue Saint Laurent,,Grenoble,38000
,Théâtre de Sainte Marie d'en Bas,38 Rue Très Cloîtres,,Grenoble,38000
,Artizz / Ancien Musée de peinture,Place de Verdun,,Grenoble,38000
"Reconstruite en 1684, la première mention de la chapelle date de 1211. Sa situation à 1 200 m d'altitude au pied du Grand-Veymont et du célèbre Mont-Aiguille, et son architecture sobre et équilibrée, font de ce bâtiment un site exceptionnel.",Chapelle Notre-Dame de la Bâtie,Hâmeau de la Bâtie,,Gresse-en-Vercors,38650
"En contrebas du site archéologique qui a apporté sa substance au musée, et entouré par un patrimoine naturel d’exception, ce site culturel vous propose de découvrir l’histoire de l’Isle-Crémieu. Conçue pour faciliter la compréhension de l’archéologie et la relation de l’homme à son milieu, le musée retrace l’histoire de l’occupation humaine de la région, de la Préhistoire au début du Moyen Âge, au fil d’une chronologie simple et illustrée.",Musée - Maison du patrimoine,Montée de la Cure,,Hières-sur-Amby,38118
"Le plateau de Larina occupe un éperon rocheux situé à l’extrémité Ouest de l’Isle Crémieu. Ce site abrite de nombreux vestiges archéologiques, témoins d’une présence humaine depuis l’Age du Bronze jusqu’au début du Moyen Age. Les objets retrouvés à Larina sont présentés au Musée-Maison du Patrimoine.",Site archéologique de Larina,,,Hières-sur-Amby,38118
"Un moulin à vent en bois de 16m50 de haut, toiture pivotante sur 360°, meule qui broie le grain, tamis.
Explication sur la création et la réalisation d'un moulin à vent en bois. Démonstration de la fabrication de la farine à la meule.",Le moulin de Michel,190 ZA Le Grand Champ,,Izeaux,38140
"Château du Moyen Âge, remanié en partie au XVIIe siècle. Propriété successive de plusieurs familles nobles jusqu'au début du XXe siècle.Un Musée de Faïence Fine unique en France avec, plus de 600 objets utiles, décoratifs, ingénieux, du XVIIIe siècle aux années 1930. Un parc et des jardins, savant mélange d'époques et d'essences, du Moyen Äge au XIXe siècle, potager médiéval, jardin des simples et plus d'une centaine d'arbres, un pigeonnier du XVIIe s.",Château de Jarcieu - Musée de la faïence fine,151 route de St Sulpice,,Jarcieu,38270
"Église remaniée au cours du XIXe siècle (le chœur date de 1847, la tribune est refaite en 1850, tandis qu’en 1861 la nef est agrandie et la façade et le clocher sont construits dans un style néo-gothique).",Eglise Saint-Pierre-en-Lien,Le village,,Jarcieu,38270
"Ce manoir de campagne, protégé au titre des Monuments historiques, est composé d'un corps de logis rectangulaire flanqué de quatre tours circulaires en semi-ruine depuis 1918. Des photographies en noir et blanc des fresques de 1480, disparues après la chute du toit en 1917 sont exposées dans la chapelle réhabilitée",Château de Bon Repos,Plateau de Haute Jarrie,,Jarrie,38560
"Le clos Jouvin abrite la maison de maître des Jouvin, célèbre famille de gantiers grenblois qui s'installe en résidence secondaire à Jarrie à la fin du XVIIIe siècle. Cette bâtisse abrite aujourd'hui la mairie et le Musée de la chimie. Le musée présente l'histoire de la chimie, de l'Antiquité jusqu'au début du XXe siècle. Le parcours se poursuit par la présentation de l'histoire des sites chimiques locaux installés depuis 1915. Enfin, la visite se poursuit en proposant des points de vue contemporains sur la chimie industrielle : une chimie plus innovante, plus responsable permettant d'aborder les enjeux de développement durable. ",Musée de la Chimie,"Le clos Jouvin - 100, montée de la Creuse",,Jarrie,38560
"L’église Saint-Pierre de la Balme est attestée dès la fin du XIIe siècle (mentionnée dans la bulle de Lucius III du 11 mai 1183). Protégée au titre des Monuments historiques, elle comprend une nef droite ouvrant sur la travée de chœur couverte d'un berceau massif supportant le clocher massif.",Eglise Saint-Pierre,,,La Balme-les-Grottes,38390
"La chapelle des grottes de la Balme a longtemps été un lieu de pèlerinage.
Découvrez les deux chapelles superposées situées à l'entrée datant du IXe et du XIVe siècle et accessibles uniquement durant les Journées du Patrimoine !",Chapelle des Grottes,Rue des Grottes,,La Balme-les-Grottes,38390
"Visitées par françois 1er accompagné de sa mère Louise de Savoie en 1516, elles auraient, selon la légende, servi de repaire à Mandrin avant son exécution à Valence. Elles contiennent un portrait peint par Théodore Lévigne en 1882, offert en compensation de dettes auprès de l'aubergiste du lieu.",Les Grottes de la balme,Rue des Grottes,,La Balme-les-Grottes,38390
"Venez découvrir les vitraux remarquables, les autels, les boiseries finement sculptées ainsi que les coupoles peintes de l'Eglise Saint-Pierre.",Eglise Saint-Pierre,Rue du Recoin,,La Bâtie-Divisin,38490
"Après la révolte des Canuts, le village de La Bâtie-Montgascon devient un véritable déversoir des soieries lyonnaises. Il a vécu au rythme des métiers à tisser pendant plus d’un siècle. Dans une ancienne usine de tissage réhabilitée, des métiers à bras et mécaniques en parfait état de marche façonnent encore brochés, velours de Gênes, tulles, lampas, pour raconter l’histoire de la Croix-Rousse du Bas-Dauphiné.",Musée du Tisserand Dauphinois,76 rue des Tisserands,,La Bâtie-Montgascon,38110
"Eglise paroissiale d’une commune rurale tournée vers l’élevage, étagée de 358 mètres (lit du Bréda) à 2 561 mètres d’altitude (Grand-Charnier), elle est dédiée à Saint Blaise, protecteur des animaux. Un vitrail le représentant est placé au-dessus du portail d’entrée. 
Reconstruite entre 1827 et 1833 elle a gardé son clocher du XVIIe siècle subsiste. Elle présente un ensemble cohérent de mobilier du XIXe.",Eglise Saint-Blaise,Le bourg,,La Chapelle-du-Bard,38580
"Ce moulin construit en 1842 appartient à la famille Giraud. Il a fonctionné jusqu'en 1954 utilisant la force hydraulique. Dans la seconde partie du XIXe siècle, Aristide Bergès, inventeur de la houille blanche, a réalisé sur le ruisseau de la Combe ses premières conduites forcées privant de ce fait le moulin de son énergie. En compensation, il a installé une turbine nécessitant beaucoup moins d'eau pour permettre la poursuite de l'activité du moulin.",Moulin à huile,Le Mas Lary,,La Combe-de-Lancey,38190
"Ferme patrimoniale représentative de l'architecture traditionnelle en Belledonne (écuries, granges, dépendances, four à pain, cellier, travail à ferrer).",Ferme Belledonne Découverte,Les Carilléres,,La Combe-de-Lancey,38190
"Installé dans les dépendances du château, le musée s’attache à faire revivre la vie d’autrefois dans les villages de la chaîne de Belledonne. Il est un véritable conservatoire d’outils artisanaux et agricoles, de savoir-faire, de vieux métiers et de témoignages de la longue tradition rurale de ce pays de montagne.","Musée rural d'arts et de traditions populaires La Combà, Autrafé",Le Mas Montacol,,La Combe-de-Lancey,38190
"Atelier de restauration de tableaux, de copie de maîtres, de peinture murale et de trompe-l’œil.",Atelier Catherine Reynier,"1, place Saint-André",,La Côte-Saint-André,38260
Atelier ouvert récemment au rez-de-chaussée d'une maison ancienne située au bord des Halles médiévales. Exposition de faïences grand feu du XXIe siècle. Démonstration de décor au pinceau sur émail crue. Explication du processus de création d’un décor,Atelier les Delphinales,25 Place de la halle,,La Côte-Saint-André,38260
"Avec 76 mètres de long et 29 mètres de large, la halle médiévale de La Côte-Saint-André est l’une des plus vastes de France. Classée Monuments historiques en 1925, sa construction remonte au XIIIe siècle. Les fondations enfouies sous terre calent les troncs de pyramide en pierre de taille de Voreppe sur lesquelles les piliers de bois prennent appui. À chacune des cinq allées était attribué un corps de métier. La halle a été restaurée au XVe siècle mais sa physionomie n’aurait pas été sensiblement transformée.",Les Halles,,,La Côte-Saint-André,38260
"Bâtiment inauguré l'an dernier, exemple typique d'une construction contemporaine s'intégrant dans un paysage classé.",Médiathèque,125 avenue Général De Gaulle,,La Côte-Saint-André,38260
"Ce château, communément appelé Louis XI, date, pour l'essentiel, des reconstructions du XVIIe siècle effectuées par la famille de Dolomieu.",Château Louis XI,,,La Côte-Saint-André,38260
"Ce musée des liqueurs, apéritifs et élixirs est installé dans les bâtiments historiques de la distillerie. La visite se déroule dans les murs d’un ancien monastère où l’on découvre une herboristerie, une cave voûtée qui abrite des cuves de macération en chêne, la salle historique avec ses livres de comptes, la distillerie avec ses alambics en cuivre sans oublier une collection d’affiches anciennes originales.",Musée des Liqueurs Cherry Rocher,"3, avenue Camille Rocher",,La Côte-Saint-André,38260
"Fils et petit-fils d'artisans chocolatiers installés à La Côte-Saint-André depuis 1912, Pierre Jouvenal vous contera la fabuleuse histoire du cacao. Au menu : histoire, géographie, botanique, travail de l'artisan et bien sûr des dégustations !",Le Paradis du chocolat,Rue des Remparts,,La Côte-Saint-André,38260
"Jardin «nature au naturel» : 4 hectares de plantes, arbres et arbustes à venir découvrir.",Le Paradis Fouillis,63 avenue Aristide Briand,,La Côte-Saint-André,38260
"Le Musée présente une importante collection évoquant la vie et l’œuvre du musicien : l’univers familial, ses relations au monde de la musique, ses voyages et concerts à travers l’Europe. Mobilier d’époque, partitions originales, correspondances, tableaux et gravures contribuent à restituer l’âme d’Hector Berlioz, dans sa maison natale, conservée dans son décor d’origine.",Musée Hector Berlioz,"69, rue de la République",,La Côte-Saint-André,38260
Le patrimoine traditionnel des pays européens sert aujourd'hui de base à la peinture sur bois et reste une expression vivante où l'on peut allier décoration et création. Le support peut varier du petit objet usuel au meuble peint. Cet univers est riche en techniques à découvrir. Jeu: à partir des plaques d'apprentissage comment reconnaitre quelques styles traditionnels appliqués à des objets.,Atelier de Peinture sur Bois,7 rue Jacques de St Georges,,La Côte-Saint-André,38260
"Située au milieu de la place du village, l’église, d’influence romane, est construite en pierre de la vallée. Son clocher carré est détaché du bâtiment principal. A l’intérieur, une voûte principale est séparée par des colonnes et des petites voutes secondaires. Des travaux de restauration (murs intérieurs, chœur, toiture, vitraux) sont conduits depuis 2011.",Eglise,Le village,,La Ferrière,38580
"L’édifice, de style néogothique est construit à partir de 1860 sur l’emplacement d’une ancienne église du XVIIe siècle. Une peinture murale récemment restaurée, réalisée par le peintre H. Perrin, recouvre la voûte du chœur. Elle évoque l’Adoration des bergers. Attenante à l’église, une petite chapelle recèle de ravissants vitraux. Label patrimoine en Isère.",Eglise Saint-Ours,Chemin de l'église,,La Frette,38260
Ce site minier propose un cheminement à l’intérieur de galeries aménagées et une exposition retraçant plus de 1 000 ans d’exploitation du charbon sur le plateau Matheysin. Ce monde vous est conté par des guides de façon insolite et riche d’anecdotes.,La Mine Image,Route des quatre galeries,,La Motte-d'Aveillans,38770
"Chapelle construite au XIXe siècle par les Sœurs de la Nativité qui avaient acquis le château pour en faire un pensionnat de jeunes filles. Ce bâtiment a été ensuite repris par la municipalité en 1906, pour en faire une école primaire supérieure de jeunes filles. La chapelle a été réaménagée en locaux pédagogiques laïcs.",Cour du château de Beaumont,rue du château,,La Mure,38350
"Installé dans le plus ancien édifice de La Mure (probable château delphinal) le musée raconte, à partir de riches collections, l’histoire de la Matheysine et de ses hommes : l’archéologie et les guerres de Religion précèdent les salles
consacrées aux mineurs, paysans, gantiers et colporteurs.
La fin du parcours présente des artistes ayant laissé leur empreinte dans la région : Claude Garanjoud (1926-2005), Olivier Messiaen (1908-1992), etc.",Musée Matheysin,Rue Colonel-Escallon,,La Mure,38350
"Une des plus anciennes églises de Matheysine, rebâtie au 17e siècle est aussi le lieu où le jeune Pierre-Julien Eymard (1811-1868) eut la révélation de la foi. Devenu prêtre, il fonde l’Ordre des Pères du Saint-Sacrement. Il est canonisé en 1962. L’intérieur de l’église a été entièrement restauré en 2014 pour recevoir notamment une châsse reliquaire.",Eglise Saint-Pierre-Julien Eymard,Avenue du Dr Tagnard,,La Mure,38350
"Ce lieu où la Vierge est apparue à deux enfants le 19 septembre 1846 fait aujourd’hui l’objet d’un pèlerinage international. Au sanctuaire, vous pouvez visiter un musée dans l'une des cryptes de la basilique. Cet édifice date de 1852 et possède des fresques du peintre Arcabas. Il présente également des expositions sur le patrimoine régional.",Sanctuaire de Notre Dame de La Salette,La Salette,,La Salette-Fallavaux,38970
Croisière-découverte commentée du patrimoine naturel et du patrimoine bâti sur l’Isère.,Bateau à roue Royans Vercors,184 impasse des Tufières,,La Sône,38840
"Église du XIIe siècle, édifiée par les Bénédictins de Montmajeur.",Eglise,rue de l'église,,La Sône,38840
"Tour du XIIe siècle, édifiée par les Bénédictins de Montmajeur.",Tour,Grande rue,,La Sône,38840
"Un espace pensé et dessiné qui met en valeur plus de 800 espèces de fleurs et d'arbres et des artistes du monde entier. Parcours ludiques, objets détournés et jeux d'eau originaux.",Jardin des fontaines pétrifiantes,184 impasse des tufières,,La Sône,38840
